,final_score,pred
0,1.603144,0
1,1.606138,0
2,1.608134,0
3,1.618552,0
4,1.619066,0
5,1.619066,0
6,1.624182,0
7,1.625541,0
8,1.62979,0
9,1.633249,0
10,1.636709,0
11,1.629634,0
12,1.629859,0
13,1.631442,0
14,1.632625,0
15,1.635042,0
16,1.632766,0
17,1.63049,0
18,1.630017,0
19,1.632209,0
20,1.634401,0
21,1.637747,0
22,1.641361,0
23,1.643431,0
24,1.647304,0
25,1.651177,0
26,1.653248,0
27,1.655318,0
28,1.657389,0
29,1.65884,0
30,1.659635,0
31,1.659583,0
32,1.659532,0
33,1.65948,0
34,1.659429,0
35,1.657437,0
36,1.654266,0
37,1.65056,0
38,1.646854,0
39,1.641452,0
40,1.63605,0
41,1.634109,0
42,1.632169,0
43,1.628763,0
44,1.626536,0
45,1.630979,0
46,1.635536,0
47,1.637148,0
48,1.638759,0
49,1.64185,0
50,1.64,0
51,1.641555,0
52,1.645085,0
53,1.641945,0
54,1.638691,0
55,1.640665,0
56,1.642639,0
57,1.639673,0
58,1.641647,0
59,1.652257,0
60,1.652257,0
61,1.659523,0
62,1.668158,0
63,1.676794,0
64,1.68543,0
65,1.694065,0
66,1.701616,0
67,1.697856,0
68,1.701019,0
69,1.696916,0
70,1.691443,0
71,1.68597,0
72,1.680497,0
73,1.675023,0
74,1.668948,0
75,1.664102,0
76,1.660969,0
77,1.65667,0
78,1.653537,0
79,1.650404,0
80,1.647271,0
81,1.644138,0
82,1.642693,0
83,1.643918,0
84,1.645144,0
85,1.647535,0
86,1.648761,0
87,1.649986,0
88,1.64754,0
89,1.645094,0
90,1.637666,0
91,1.629012,0
92,1.620359,0
93,1.617201,0
94,1.614042,0
95,1.606244,0
96,1.602118,0
97,1.602631,0
98,1.608127,0
99,1.613622,0
100,1.619336,0
101,1.619336,0
102,1.614696,0
103,1.612968,0
104,1.612968,0
105,1.609086,0
106,1.605204,0
107,1.598836,0
108,1.594735,0
109,1.590853,0
110,1.588883,0
111,1.59137,0
112,1.596086,0
113,1.600044,0
114,1.606172,0
115,1.617942,0
116,1.624069,0
117,1.634021,0
118,1.646701,0
119,1.652828,0
120,1.658821,0
121,1.664815,0
122,1.663799,0
123,1.664467,0
124,1.663451,0
125,1.652383,0
126,1.647543,0
127,1.640448,0
128,1.63781,0
129,1.632969,0
130,1.629369,0
131,1.618301,0
132,1.612073,0
133,1.612073,0
134,1.608472,0
135,1.610951,0
136,1.601035,0
137,1.597145,0
138,1.593032,0
139,1.58386,0
140,1.582374,0
141,1.580888,0
142,1.572205,0
143,1.568092,0
144,1.558756,0
145,1.545596,0
146,1.541027,0
147,1.544143,0
148,1.539574,0
149,1.535618,0
150,1.536232,0
151,1.531663,0
152,1.527788,0
153,1.523914,0
154,1.521071,0
155,1.510755,0
156,1.500438,0
157,1.496982,0
158,1.493525,0
159,1.490683,0
160,1.502337,0
161,1.513992,0
162,1.519848,0
163,1.536848,0
164,1.553848,0
165,1.563374,0
166,1.5729,0
167,1.563772,0
168,1.551319,0
169,1.541083,0
170,1.530516,0
171,1.51628,0
172,1.502043,0
173,1.488136,0
174,1.475783,0
175,1.475783,0
176,1.473002,0
177,1.468005,0
178,1.459481,0
179,1.450957,0
180,1.439267,0
181,1.423976,0
182,1.407132,0
183,1.393945,0
184,1.377674,0
185,1.361402,0
186,1.348987,0
187,1.336571,0
188,1.327323,0
189,1.318244,0
190,1.310476,0
191,1.329345,0
192,1.350078,0
193,1.37081,0
194,1.391543,0
195,1.411501,0
196,1.411145,0
197,1.416821,0
198,1.421186,0
199,1.401558,0
200,1.383401,0
201,1.365243,0
202,1.347086,0
203,1.329269,0
204,1.335868,0
205,1.34003,0
206,1.343697,0
207,1.347364,0
208,1.351527,0
209,1.355689,0
210,1.359852,0
211,1.360814,0
212,1.357676,0
213,1.354041,0
214,1.350903,0
215,1.347764,0
216,1.346683,0
217,1.340444,0
218,1.334204,0
219,1.355013,0
220,1.344933,0
221,1.354461,0
222,1.368357,0
223,1.355061,0
224,1.366403,0
225,1.382904,0
226,1.395823,0
227,1.384647,0
228,1.404255,0
229,1.403229,0
230,1.397837,0
231,1.419635,0
232,1.410801,0
233,1.396651,0
234,1.386083,0
235,1.376447,0
236,1.360901,0
237,1.352395,0
238,1.349132,0
239,1.337525,0
240,1.32936,0
241,1.326511,0
242,1.320748,0
243,1.32599,0
244,1.337248,0
245,1.325471,0
246,1.308453,0
247,1.299777,0
248,1.291102,0
249,1.282426,0
250,1.276665,0
251,1.259646,0
252,1.242627,0
253,1.251886,0
254,1.261144,0
255,1.27178,0
256,1.282415,0
257,1.291674,0
258,1.289705,0
259,1.296016,0
260,1.302328,0
261,1.295006,0
262,1.283778,0
263,1.275079,0
264,1.260576,0
265,1.247449,0
266,1.248515,0
267,1.24414,0
268,1.239766,0
269,1.239766,0
270,1.24133,0
271,1.238491,0
272,1.242568,0
273,1.245534,0
274,1.245534,0
275,1.243193,0
276,1.240853,0
277,1.229676,0
278,1.229676,0
279,1.224673,0
280,1.224673,0
281,1.243022,0
282,1.228166,0
283,1.212811,0
284,1.20731,0
285,1.204644,0
286,1.186614,0
287,1.180613,0
288,1.168498,0
289,1.135292,0
290,1.139145,0
291,1.142998,0
292,1.136997,0
293,1.145781,0
294,1.161093,0
295,1.169877,0
296,1.178886,0
297,1.18774,0
298,1.192741,0
299,1.200194,0
300,1.205195,0
301,1.201412,0
302,1.197628,0
303,1.193845,0
304,1.192289,0
305,1.194741,0
306,1.193796,0
307,1.190399,0
308,1.188057,0
309,1.185715,0
310,1.177129,0
311,1.172489,0
312,1.165397,0
313,1.158305,0
314,1.149163,0
315,1.139431,0
316,1.131684,0
317,1.123137,0
318,1.121636,0
319,1.121636,0
320,1.121636,0
321,1.121419,0
322,1.126651,0
323,1.136215,0
324,1.14519,0
325,1.153265,0
326,1.160034,0
327,1.161354,0
328,1.161137,0
329,1.160315,0
330,1.155223,0
331,1.146057,0
332,1.136891,0
333,1.129756,0
334,1.127397,0
335,1.125039,0
336,1.124217,0
337,1.124971,0
338,1.13181,0
339,1.141229,0
340,1.150648,0
341,1.155672,0
342,1.156426,0
343,1.158257,0
344,1.153512,0
345,1.148867,0
346,1.146046,0
347,1.137336,0
348,1.128627,0
349,1.125158,0
350,1.121689,0
351,1.115967,0
352,1.115081,0
353,1.113453,0
354,1.108187,0
355,1.106559,0
356,1.10482,0
357,1.102015,0
358,1.09921,0
359,1.099188,0
360,1.100904,0
361,1.103495,0
362,1.106086,0
363,1.109113,0
364,1.113169,0
365,1.117114,0
366,1.12106,0
367,1.1234,0
368,1.126164,0
369,1.126787,0
370,1.127409,0
371,1.127596,0
372,1.126864,0
373,1.126602,0
374,1.125577,0
375,1.122903,0
376,1.119804,0
377,1.117862,0
378,1.114297,0
379,1.110732,0
380,1.105429,0
381,1.099322,0
382,1.094367,0
383,1.090672,0
384,1.087007,0
385,1.084103,0
386,1.082822,0
387,1.081542,0
388,1.081998,0
389,1.085193,0
390,1.087142,0
391,1.089479,0
392,1.092644,0
393,1.095048,0
394,1.098606,0
395,1.100153,0
396,1.101699,0
397,1.100312,0
398,1.09735,0
399,1.094004,0
400,1.090183,0
401,1.086363,0
402,1.081005,0
403,1.075195,0
404,1.069385,0
405,1.065503,0
406,1.065503,0
407,1.064439,0
408,1.074395,0
409,1.084351,0
410,1.093463,0
411,1.099767,0
412,1.106071,0
413,1.110975,0
414,1.119704,0
415,1.12988,0
416,1.111912,0
417,1.093943,0
418,1.077201,0
419,1.068248,0
420,1.059294,0
421,1.050341,0
422,1.036115,0
423,1.021889,0
424,1.022371,0
425,1.022853,0
426,1.034921,0
427,1.044474,0
428,1.054026,0
429,1.053016,0
430,1.052006,0
431,1.050996,0
432,1.057201,0
433,1.063406,0
434,1.058781,0
435,1.0534,0
436,1.048776,0
437,1.054714,0
438,1.061347,0
439,1.067802,0
440,1.069075,0
441,1.073324,0
442,1.077856,1
443,1.079129,1
444,1.079646,1
445,1.080162,1
446,1.079098,1
447,1.083113,1
448,1.088541,1
449,1.077897,1
450,1.067236,1
451,1.06059,1
452,1.052923,1
453,1.046021,1
454,1.040007,1
455,1.028324,1
456,1.015995,1
457,1.019331,1
458,1.021645,1
459,1.025523,1
460,1.028859,1
461,1.032992,1
462,1.035849,1
463,1.039472,1
464,1.042041,1
465,1.042041,1
466,1.04043,1
467,1.039154,1
468,1.039441,1
469,1.035426,1
470,1.031718,1
471,1.028009,1
472,1.024587,1
473,1.057094,1
474,1.093577,1
475,1.129133,1
476,1.164689,1
477,1.199647,1
478,1.235576,1
479,1.237164,1
480,1.238265,1
481,1.20615,1
482,1.17167,1
483,1.13622,1
484,1.106491,1
485,1.07215,1
486,1.037321,1
487,1.039547,1
488,1.042261,1
489,1.677635,1
490,2.396802,1
491,3.162422,1
492,8.376825,1
493,10.668188,1
494,12.967535,1
495,14.857547,1
496,16.406343,1
497,16.048919,1
498,14.984596,1
499,13.395714,1
500,4.879401,1
501,4.337739,1
502,3.922174,1
503,3.683533,1
504,3.556373,1
505,3.516606,1
506,3.476755,1
507,3.459554,1
508,3.447923,1
509,3.436291,1
510,3.407542,1
511,3.378792,1
512,3.359689,1
513,3.348057,1
514,3.334358,1
515,3.320658,1
516,3.318506,1
517,3.312,1
518,3.286643,1
519,3.255741,1
520,3.228912,1
521,3.202083,1
522,3.173333,1
523,3.143344,1
524,3.114594,1
525,3.088959,1
526,3.080135,1
527,3.070982,1
528,3.054235,1
529,3.033103,1
530,3.020429,1
531,3.004609,1
532,2.9806,1
533,2.957197,1
534,2.936466,1
535,2.923499,1
536,2.923262,1
537,2.927409,1
538,3.013906,1
539,3.094519,1
540,3.159237,1
541,3.240006,1
542,3.290527,1
543,3.353978,1
544,3.425446,1
545,3.446026,1
546,3.447989,1
547,3.481843,1
548,3.549849,1
549,3.603111,1
550,3.617334,0
551,3.675002,0
552,3.728527,0
553,3.846077,0
554,3.975161,0
555,4.020242,0
556,4.153784,0
557,4.283379,0
558,4.410798,0
559,4.489882,0
560,4.615134,0
561,4.728125,0
562,4.851415,0
563,5.058727,0
564,5.163798,0
565,5.247238,0
566,5.430058,0
567,5.652068,0
568,5.783784,0
569,5.85506,0
570,5.919079,0
571,5.962319,0
572,5.970904,0
573,5.986396,0
574,5.820442,0
575,5.661102,0
576,5.460432,0
577,5.347892,0
578,5.107211,0
579,4.896635,0
580,4.82345,0
581,4.664821,0
582,4.55596,0
583,4.447931,0
584,4.362574,0
585,4.187718,0
586,4.091585,0
587,4.066744,0
588,3.954646,0
589,3.877728,0
590,3.866375,0
591,3.79882,0
592,3.759365,0
593,3.759985,0
594,3.819337,0
595,3.727661,0
596,3.652535,0
597,3.60799,0
598,3.566845,0
599,3.554662,0
600,3.549582,0
601,3.579862,0
602,3.576653,0
603,3.573091,0
604,3.567509,0
605,3.611079,0
606,3.636667,0
607,3.678323,0
608,3.658426,0
609,3.663941,0
610,3.637301,0
611,3.661004,0
612,3.691905,0
613,3.693559,0
614,3.70177,0
615,3.746216,0
616,3.846982,0
617,3.880923,0
618,3.910196,0
619,3.929679,0
620,3.989925,0
621,4.045426,0
622,4.088497,0
623,4.037022,0
624,4.029165,0
625,4.067162,0
626,4.063657,0
627,4.106984,0
628,4.128838,0
629,4.141473,0
630,4.239381,0
631,4.326084,0
632,4.360405,0
633,4.451184,0
634,4.560065,0
635,4.628858,0
636,4.737377,0
637,4.82334,0
638,4.850422,0
639,4.974318,0
640,5.012475,0
641,4.972578,0
642,5.038659,0
643,5.031287,0
644,4.985305,0
645,4.897849,0
646,4.816701,0
647,4.69629,0
648,4.674832,0
649,4.614336,0
650,4.549181,0
651,4.611228,0
652,4.563905,0
653,4.528756,0
654,4.514845,0
655,4.472996,0
656,4.336787,0
657,4.272737,0
658,4.18544,0
659,4.081293,0
660,3.967509,0
661,3.897604,0
662,3.792472,0
663,3.701729,0
664,3.690757,0
665,3.62,0
666,3.584906,0
667,3.552705,0
668,3.562957,0
669,3.596722,0
670,3.629329,0
671,3.6373,0
672,3.6375,0
673,3.669111,0
674,3.674632,0
675,3.650935,0
676,3.655084,0
677,3.65617,0
678,3.640166,0
679,3.663447,0
680,3.669825,0
681,3.71214,0
682,3.743299,0
683,3.766501,0
684,3.813052,0
685,3.796438,0
686,3.819536,0
687,3.837226,0
688,3.930374,0
689,4.005266,0
690,4.089966,0
691,4.134804,0
692,4.25592,0
693,4.381933,0
694,4.432684,0
695,4.542421,0
696,4.596889,0
697,4.560556,0
698,4.543036,0
699,4.570781,0
700,4.508569,0
701,4.473916,0
702,4.445145,0
703,4.375499,0
704,4.318424,0
705,4.333093,0
706,4.31645,0
707,4.244471,0
708,4.232221,0
709,4.198029,0
710,4.219202,0
711,4.222019,0
712,4.239488,0
713,4.209627,0
714,4.169288,0
715,4.181866,0
716,4.126769,0
717,4.042903,0
718,3.978685,0
719,3.936798,0
720,3.850736,0
721,3.873488,0
722,3.850914,0
723,3.847693,0
724,3.83464,0
725,3.800627,0
726,3.788261,0
727,3.731148,0
728,3.69748,0
729,3.569188,0
730,3.546318,0
731,3.503776,0
732,3.452884,0
733,3.441474,0
734,3.436175,0
735,3.468444,0
736,3.498016,0
737,3.56656,0
738,3.54972,0
739,3.575955,0
740,3.595889,0
741,3.64721,0
742,3.652461,0
743,3.62277,0
744,3.629427,0
745,3.596205,0
746,3.613936,0
747,3.600686,0
748,3.600428,0
749,3.622588,0
750,3.631466,0
751,3.66953,0
752,3.647926,0
753,3.693237,0
754,3.740079,0
755,3.749796,0
756,3.808086,0
757,3.762435,0
758,3.785696,0
759,3.833904,0
760,3.866275,0
761,3.870307,0
762,3.904537,0
763,3.945007,0
764,3.948254,0
765,4.023796,0
766,4.060784,0
767,4.037901,0
768,4.046936,0
769,3.975154,0
770,3.930705,0
771,3.815223,0
772,3.739563,0
773,3.636911,0
